title,price,category
1962 Alfa Romeo Giulietta Sprint Roller Project,"Bid to $1,500 on 12/13/16",convertibles
1961 Alfa Romeo Giulietta Ti,"Sold for $25,678 on 11/8/16",convertibles
1957 Alfa Romeo Giulietta Spider 750D,"Bid to $57,143 on 10/28/16",convertibles
1960 Alfa Romeo Giulietta Spider 2-Litre,"Bid to $40,250 on 10/25/16",convertibles
1959 Alfa Romeo Giulietta Spider Veloce 750F,"Sold for $117,500 on 10/13/16",convertibles
1958 Alfa Romeo Giulietta Spider 750D,"Sold for $47,750 on 10/5/16",convertibles
1958 Alfa Romeo Giulietta Sprint,"Bid to $24,250 on 8/5/16",convertibles
1962 Alfa Romeo Giulietta Spider Normale,"Sold for $50,000 on 8/3/16",convertibles
1957 Alfa Romeo Giulietta Spider 750D Project,"Sold for $14,250 on 7/22/16",convertibles
1960 Alfa Romeo Giulietta Spider Normale Project,"Sold for $19,100 on 7/14/16",convertibles
1956 Alfa Romeo Giulietta Spider Project,"Sold for $15,000 on 5/4/16",convertibles
1959 Alfa Romeo Giulietta Spider,"Sold for $31,500 on 11/4/15",convertibles
1958 Alfa Romeo Giulietta 750 Spider,"Sold for $58,800 on 9/16/15",convertibles
1959 Alfa Romeo Giulietta 750 Sprint,"Sold for $50,500 on 8/4/15",convertibles
40 Years Owned 1960 Alfa Romeo Giulietta Sprint,"Sold for $60,500 on 7/14/15",convertibles
1960 Alfa Romeo Giulietta Spider Veloce Racer,"Sold for $35,000 on 6/24/15",convertibles
1957 Alfa Romeo Giulietta 750 Sprint,"Bid to $67,000 on 4/29/15",convertibles
